DateTime,VoltagemV_0,ExternalTemp_0,Bypass_0,BalancemAh_0
03-05-2022 10:10:40,3503,27,N,90
03-05-2022 10:10:55,3503,27,N,90
03-05-2022 10:11:10,3504,27,N,90
03-05-2022 10:11:25,3503,27,N,90
03-05-2022 10:11:40,3503,27,N,90
03-05-2022 10:11:55,3503,27,N,90
03-05-2022 10:12:10,3503,26,N,90
03-05-2022 10:12:25,3503,26,N,90
03-05-2022 10:12:40,3503,26,N,90
03-05-2022 10:12:55,3503,26,N,90
03-05-2022 10:13:10,3504,26,N,90
03-05-2022 10:13:25,3505,26,N,90
03-05-2022 10:13:40,3505,26,N,90
03-05-2022 10:13:56,3505,26,N,90
03-05-2022 10:14:11,3503,26,N,90
03-05-2022 10:14:26,3504,26,N,90
03-05-2022 10:14:41,3504,26,N,90
03-05-2022 10:14:56,3505,26,N,90
03-05-2022 10:15:11,3505,26,N,90
03-05-2022 10:15:26,3504,26,N,90
03-05-2022 10:15:41,3505,26,N,90
03-05-2022 10:15:56,3504,26,N,90
03-05-2022 10:16:12,3503,26,N,90
03-05-2022 10:16:27,3506,26,N,90
03-05-2022 10:16:42,3506,26,N,90
03-05-2022 10:16:57,3505,26,N,90
03-05-2022 10:17:12,3505,26,N,90
03-05-2022 10:17:27,3506,26,N,90
03-05-2022 10:17:42,3504,26,N,90
03-05-2022 10:17:57,3504,26,N,90
03-05-2022 10:18:26,03-05-2022 10:18:41,03-05-2022 10:19:06,3506,26,N,90
03-05-2022 10:19:39,3504,26,N,90
03-05-2022 10:19:54,3505,26,N,90
03-05-2022 10:20:09,3504,26,N,90
