DateTime,VoltagemV_0,ExternalTemp_0,Bypass_0,BalancemAh_0,VoltagemV_1,ExternalTemp_1,Bypass_1,BalancemAh_1,VoltagemV_2,ExternalTemp_2,Bypass_2,BalancemAh_2
05-05-2022 00:00:07,12930,18,N,0,12827,18,N,0,13003,18,N,0
05-05-2022 00:00:22,12930,18,N,0,12827,18,N,0,13003,18,N,0
05-05-2022 00:00:37,12930,18,N,0,12827,18,N,0,13003,18,N,0
05-05-2022 00:00:52,12930,18,N,0,12827,18,N,0,13003,18,N,0
05-05-2022 00:01:07,12930,18,N,0,12827,18,N,0,13003,18,N,0
05-05-2022 00:01:22,12930,18,N,0,12831,18,N,0,13003,18,N,0
05-05-2022 00:01:37,12930,18,N,0,12827,18,N,0,13003,18,N,0
05-05-2022 00:01:52,12930,18,N,0,12827,18,N,0,13003,18,N,0
05-05-2022 00:02:07,12930,18,N,0,12827,18,N,0,13003,18,N,0
05-05-2022 00:02:22,12930,18,N,0,12831,18,N,0,13003,18,N,0
05-05-2022 00:02:37,12930,18,N,0,12827,18,N,0,13003,18,N,0
05-05-2022 00:02:52,12930,18,N,0,12827,18,N,0,13003,18,N,0
05-05-2022 00:03:07,12930,18,N,0,12827,18,N,0,13003,18,N,0
05-05-2022 00:03:22,12930,18,N,0,12827,18,N,0,13003,18,N,0
05-05-2022 00:03:37,12930,18,N,0,12827,18,N,0,13003,18,N,0
05-05-2022 00:03:52,12930,18,N,0,12827,18,N,0,13003,18,N,0
05-05-2022 00:04:07,12930,18,N,0,12827,18,N,0,13003,18,N,0
05-05-2022 00:04:22,12930,18,N,0,12827,18,N,0,13003,18,N,0
05-05-2022 00:04:37,12930,18,N,0,12827,18,N,0,13003,18,N,0
05-05-2022 00:04:52,12930,18,N,0,12827,18,N,0,13003,18,N,0
05-05-2022 00:05:07,12930,18,N,0,12827,18,N,0,13003,18,N,0
05-05-2022 00:05:22,12930,18,N,0,12827,18,N,0,13003,18,N,0
05-05-2022 00:05:37,12930,18,N,0,12827,18,N,0,13003,18,N,0
05-05-2022 00:05:52,12930,18,N,0,12827,18,N,0,13003,18,N,0
05-05-2022 00:06:07,12930,18,N,0,12827,18,N,0,13003,18,N,0
05-05-2022 00:06:22,12933,18,N,0,12827,18,N,0,13003,18,N,0
05-05-2022 00:06:37,12930,18,N,0,12827,18,N,0,13003,18,N,0
05-05-2022 00:06:52,12930,18,N,0,12827,18,N,0,13003,18,N,0
05-05-2022 00:07:07,12930,18,N,0,12827,18,N,0,13003,18,N,0
05-05-2022 00:07:22,12930,18,N,0,12827,18,N,0,13003,18,N,0
05-05-2022 00:07:37,12930,18,N,0,12827,18,N,0,13003,18,N,0
05-05-2022 00:07:52,12930,18,N,0,12827,18,N,0,13003,18,N,0
05-05-2022 00:08:07,12930,18,N,0,12827,18,N,0,13003,18,N,0
05-05-2022 00:08:22,12930,18,N,0,12827,18,N,0,13003,18,N,0
05-05-2022 00:08:37,12930,18,N,0,12827,18,N,0,13003,18,N,0
05-05-2022 00:08:52,12930,18,N,0,12827,18,N,0,13003,18,N,0
05-05-2022 00:09:07,12930,18,N,0,12827,18,N,0,13003,18,N,0
05-05-2022 00:09:22,12930,18,N,0,12827,18,N,0,13003,18,N,0
05-05-2022 00:09:37,12930,18,N,0,12827,18,N,0,13003,18,N,0
05-05-2022 00:09:52,12930,18,N,0,12827,18,N,0,13010,18,N,0
05-05-2022 00:10:07,12930,18,N,0,12827,18,N,0,13003,18,N,0
05-05-2022 00:10:22,12930,18,N,0,12827,18,N,0,13003,18,N,0
05-05-2022 00:10:37,12930,18,N,0,12827,18,N,0,13003,18,N,0
05-05-2022 00:10:52,12930,18,N,0,12827,18,N,0,13003,18,N,0
05-05-2022 00:11:07,12930,18,N,0,12827,18,N,0,13003,18,N,0
05-05-2022 00:11:22,12930,18,N,0,12827,18,N,0,13003,18,N,0
05-05-2022 00:11:37,12930,18,N,0,12827,18,N,0,13003,18,N,0
05-05-2022 00:11:52,12930,18,N,0,12827,18,N,0,13003,18,N,0
05-05-2022 00:12:07,12930,18,N,0,12827,18,N,0,13003,18,N,0
05-05-2022 00:12:22,12930,18,N,0,12827,18,N,0,13003,18,N,0
05-05-2022 00:12:37,12930,18,N,0,12827,18,N,0,13003,18,N,0
05-05-2022 00:12:52,12930,18,N,0,12827,18,N,0,13003,18,N,0
05-05-2022 00:13:07,12930,18,N,0,12827,18,N,0,13003,18,N,0
05-05-2022 00:13:22,12930,18,N,0,12827,18,N,0,13003,18,N,0
05-05-2022 00:13:37,12930,18,N,0,12827,18,N,0,13003,18,N,0
05-05-2022 00:13:52,12933,18,N,0,12827,18,N,0,13003,18,N,0
05-05-2022 00:14:07,12930,18,N,0,12827,18,N,0,13003,18,N,0
05-05-2022 00:14:22,12930,18,N,0,12827,18,N,0,13003,18,N,0
05-05-2022 00:14:37,12930,18,N,0,12827,18,N,0,13003,18,N,0
05-05-2022 00:14:52,12930,18,N,0,12827,18,N,0,13003,18,N,0
05-05-2022 00:15:07,12930,18,N,0,12827,18,N,0,13003,18,N,0
05-05-2022 00:15:22,12930,18,N,0,12827,18,N,0,13003,18,N,0
05-05-2022 00:15:37,12930,18,N,0,12827,18,N,0,13003,18,N,0
05-05-2022 00:15:52,12930,18,N,0,12827,18,N,0,13003,18,N,0
05-05-2022 00:16:07,12930,18,N,0,12827,18,N,0,13003,18,N,0
05-05-2022 00:16:22,12930,18,N,0,12827,18,N,0,13003,18,N,0
05-05-2022 00:16:37,12930,18,N,0,12827,18,N,0,13003,18,N,0
05-05-2022 00:16:52,12930,18,N,0,12827,18,N,0,13003,18,N,0
05-05-2022 00:17:07,12930,18,N,0,12827,18,N,0,13003,18,N,0
05-05-2022 00:17:22,12930,18,N,0,12827,18,N,0,13003,18,N,0
05-05-2022 00:17:37,12930,18,N,0,12827,18,N,0,13003,18,N,0
05-05-2022 00:17:52,12930,18,N,0,12827,18,N,0,13003,18,N,0
05-05-2022 00:18:07,12930,18,N,0,12827,18,N,0,13003,18,N,0
05-05-2022 00:18:22,12930,18,N,0,12827,18,N,0,13006,18,N,0
05-05-2022 00:18:37,12930,18,N,0,12827,18,N,0,13003,18,N,0
05-05-2022 00:18:52,12930,18,N,0,12827,18,N,0,13003,18,N,0
05-05-2022 00:19:07,12930,18,N,0,12827,18,N,0,13003,18,N,0
05-05-2022 00:19:22,12930,18,N,0,12827,18,N,0,13003,18,N,0
05-05-2022 00:19:37,12930,18,N,0,12827,18,N,0,13003,18,N,0
05-05-2022 00:19:52,12930,18,N,0,12827,18,N,0,13003,18,N,0
05-05-2022 00:20:07,12930,18,N,0,12827,18,N,0,13003,18,N,0
05-05-2022 00:20:22,12930,18,N,0,12827,18,N,0,13003,18,N,0
05-05-2022 00:20:37,12930,18,N,0,12827,18,N,0,13003,18,N,0
05-05-2022 00:20:52,12930,17,N,0,12827,18,N,0,13003,18,N,0
05-05-2022 00:21:07,12930,17,N,0,12827,18,N,0,13003,18,N,0
05-05-2022 00:21:22,12930,17,N,0,12827,18,N,0,13003,18,N,0
05-05-2022 00:21:37,12930,17,N,0,12827,18,N,0,13003,18,N,0
05-05-2022 00:21:52,12930,17,N,0,12827,18,N,0,13003,18,N,0
05-05-2022 00:22:07,12930,17,N,0,12827,18,N,0,13003,18,N,0
05-05-2022 00:22:22,12930,17,N,0,12827,18,N,0,13003,18,N,0
05-05-2022 00:22:37,12930,17,N,0,12827,18,N,0,13003,18,N,0
05-05-2022 00:22:52,12930,17,N,0,12827,18,N,0,13003,18,N,0
05-05-2022 00:23:07,12930,17,N,0,12827,18,N,0,13003,18,N,0
05-05-2022 00:23:22,12930,18,N,0,12827,18,N,0,13003,18,N,0
05-05-2022 00:23:37,12930,17,N,0,12827,18,N,0,13003,18,N,0
05-05-2022 00:23:52,12930,17,N,0,12827,18,N,0,13003,18,N,0
05-05-2022 00:24:07,12930,18,N,0,12827,18,N,0,13003,18,N,0
05-05-2022 00:24:22,12930,17,N,0,12827,18,N,0,13003,18,N,0
05-05-2022 00:24:37,12930,18,N,0,12827,18,N,0,13003,18,N,0
05-05-2022 00:24:52,12930,18,N,0,12827,18,N,0,13006,18,N,0
05-05-2022 00:25:07,12930,17,N,0,12827,18,N,0,13003,18,N,0
05-05-2022 00:25:22,12930,17,N,0,12827,18,N,0,13003,18,N,0
05-05-2022 00:25:37,12930,17,N,0,12827,18,N,0,13003,18,N,0
05-05-2022 00:25:52,12930,17,N,0,12827,18,N,0,13003,18,N,0
05-05-2022 00:26:07,12930,17,N,0,12827,18,N,0,13003,18,N,0
05-05-2022 00:26:22,12930,17,N,0,12827,18,N,0,13003,18,N,0
05-05-2022 00:26:37,12930,17,N,0,12827,18,N,0,13003,18,N,0
05-05-2022 00:26:52,12930,17,N,0,12827,18,N,0,13003,18,N,0
05-05-2022 00:27:07,12930,17,N,0,12827,18,N,0,13003,18,N,0
05-05-2022 00:27:22,12930,18,N,0,12827,18,N,0,13003,18,N,0
